"126p -- Rangaistukset kansalaisuuden, asuinpaikan ja rikoksen mukaan (käräjäoikeudet ja hovioikeus ensimmäisenä oikeusasteena, rangaistus- ja sakkomääräykset ja rikesakot), 2009-2022"

"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2021","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",167581,54284,16,7555,0.0,8,5778,156,1613,13004,720,0,33755,77672,19,93,1870,357,3061,619,1744,246604,133307,9317,1960
"2021","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",26534,15530,0,1954,0.0,1,1685,9,259,2863,356,0,1716,9287,7,0,1,65,956,173,0,58141,47137,3519,654
"2021","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",2892,2892,0,847,0.0,0,753,4,90,552,95,0,0,0,1,0,0,9,188,57,0,7107,7107,806,127
"2021","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",14420,4734,0,0,0.0,0,0,0,0,0,121,0,398,9287,0,0,1,8,95,30,0,25661,15975,365,143
"2021","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",392,379,0,15,0.0,0,13,1,1,177,1,0,13,0,0,0,0,1,52,8,0,733,720,125,18
"2021","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4218,3818,0,434,0.0,0,330,4,100,1167,65,0,400,0,1,0,0,13,242,32,0,15126,14726,997,160
"2021","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",571,261,0,11,0.0,0,11,0,0,206,0,0,310,0,0,0,0,0,51,3,0,1167,857,119,19
"2021","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",689,689,0,391,0.0,1,369,0,21,277,1,0,0,0,5,0,0,8,65,5,0,899,899,159,9
"2021","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1551,1353,0,47,0.0,0,32,0,15,93,24,0,198,0,0,0,0,19,80,24,0,3497,3299,335,133
"2021","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",103,92,0,6,0.0,0,5,0,1,5,9,0,11,0,0,0,0,0,8,0,0,244,233,41,6
"2021","Yhteensä","Yhteensä","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",617,604,0,92,0.0,0,81,0,11,170,24,0,13,0,0,0,0,5,104,9,0,1384,1371,283,18
"2021","Yhteensä","Yhteensä","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",831,458,0,25,0.0,0,17,0,8,188,2,0,373,0,0,0,0,1,53,4,0,1418,1045,167,5
"2021","Yhteensä","Yhteensä","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",250,250,0,86,0.0,0,74,0,12,28,14,0,0,0,0,0,0,1,18,1,0,905,905,122,16
"2021","Yhteensä","Yhteensä","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",6625,6402,16,1014,0.0,6,819,20,169,1731,57,0,222,1,3,0,0,106,777,252,0,9479,9256,1716,452
"2021","Yhteensä","Yhteensä","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",177,177,16,135,0.0,5,130,0,0,4,0,0,0,0,1,0,0,21,10,1,0,216,216,72,1
"2021","Yhteensä","Yhteensä","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",454,454,0,243,0.0,1,242,0,0,199,3,0,0,0,2,0,0,7,55,13,0,500,500,120,31
"2021","Yhteensä","Yhteensä","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",5595,5454,0,608,0.0,0,420,20,168,1495,52,0,140,1,0,0,0,74,661,234,0,8085,7944,1374,407
"2021","Yhteensä","Yhteensä","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",50,50,0,7,0.0,0,7,0,0,8,0,0,0,0,0,0,0,1,13,0,0,69,69,24,0
"2021","Yhteensä","Yhteensä","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",296,214,0,6,0.0,0,6,0,0,10,2,0,82,0,0,0,0,3,27,4,0,518,436,80,13
"2021","Yhteensä","Yhteensä","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",53,53,0,15,0.0,0,14,0,1,15,0,0,0,0,0,0,0,0,11,0,0,91,91,46,0
"2021","Yhteensä","Yhteensä","C. Seksuaalirikokset","Rangaistusten lukumäärä",601,572,0,197,0.0,1,195,0,1,314,2,0,29,0,0,0,0,3,192,10,0,1004,975,351,16
"2021","Yhteensä","Yhteensä","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",255,255,0,84,0.0,1,83,0,0,169,0,0,0,0,0,0,0,1,70,4,0,512,512,115,5
"2021","Yhteensä","Yhteensä","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",199,199,0,106,0.0,0,106,0,0,91,1,0,0,0,0,0,0,1,95,5,0,252,252,163,5
"2021","Yhteensä","Yhteensä","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",147,118,0,7,0.0,0,6,0,1,54,1,0,29,0,0,0,0,1,27,1,0,240,211,73,6
"2021","Yhteensä","Yhteensä","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",4902,1651,0,148,0.0,0,109,3,36,369,13,0,3250,1,1,0,0,22,142,18,0,6941,3690,427,75
"2021","Yhteensä","Yhteensä","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",1004,447,0,80,0.0,0,53,1,26,224,1,0,557,0,1,0,0,7,7,3,0,1265,708,36,8
"2021","Yhteensä","Yhteensä","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",693,66,0,0,0.0,0,0,0,0,0,1,0,627,0,0,0,0,2,2,1,0,1046,419,19,6
"2021","Yhteensä","Yhteensä","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",305,60,0,3,0.0,0,1,1,1,11,2,0,244,1,0,0,0,1,19,2,0,624,379,35,7
"2021","Yhteensä","Yhteensä","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",2900,1078,0,65,0.0,0,55,1,9,134,9,0,1822,0,0,0,0,12,114,12,0,4006,2184,337,54
"2021","Yhteensä","Yhteensä","E. Liikennerikokset","Rangaistusten lukumäärä",99669,17559,0,2815,0.0,0,1758,87,970,5001,157,0,17410,64696,1,3,4,29,204,40,0,119609,37499,648,204
"2021","Yhteensä","Yhteensä","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",70634,1351,0,47,0.0,0,36,1,10,23,11,0,8566,60713,0,3,4,16,67,5,0,73551,4268,162,28
"2021","Yhteensä","Yhteensä","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",4128,4128,0,324,0.0,0,260,7,57,543,14,0,0,0,0,0,0,3,19,2,0,4638,4638,40,4
"2021","Yhteensä","Yhteensä","Rattijuopumus 23:3","Rangaistusten lukumäärä",6748,5024,0,818,0.0,0,687,13,118,207,61,0,1724,0,0,0,0,3,33,12,0,11252,9528,132,56
"2021","Yhteensä","Yhteensä","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",5510,5510,0,1284,0.0,0,506,57,721,4091,6,0,0,0,1,0,0,3,41,16,0,5828,5828,66,23
"2021","Yhteensä","Yhteensä","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",252,252,0,1,0.0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,260,260,8,0
"2021","Yhteensä","Yhteensä","Kulkuneuvon luovuttaminen juopuneelle 23:8","Rangaistusten lukumäärä",185,185,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,17,2,0,211,211,36,2
"2021","Yhteensä","Yhteensä","Muut liikennerikokset 23:9-11","Rangaistusten lukumäärä",12212,1109,0,340,0.0,0,268,9,63,135,64,0,7120,3983,0,0,0,3,21,3,0,23869,12766,204,91
"2021","Yhteensä","Yhteensä","F. Muut rikoslakia vastaan tehdyt rikokset","Rangaistusten lukumäärä",16671,10333,0,1401,0.0,0,1211,12,178,2726,134,0,6065,4,7,1,269,109,739,124,0,37393,31055,2510,506
"2021","Yhteensä","Yhteensä","Aserikokset, terveyttä ja turvallisuutta vaarantavat rikokset 41, 44 luku","Rangaistusten lukumäärä",3333,1318,0,139,0.0,0,117,2,20,204,23,0,1748,3,0,1,264,15,85,10,0,6699,4684,375,59
"2021","Yhteensä","Yhteensä","Tuhotyö, liikennetuhotyö 34:1-3, 34a:1§1/3,5","Rangaistusten lukumäärä",55,55,0,19,0.0,0,18,0,1,33,0,0,0,0,0,0,0,3,3,3,0,73,73,7,3
"2021","Yhteensä","Yhteensä","Väärennys, rahan väärennys 33:1-5, 37:1-7","Rangaistusten lukumäärä",329,227,0,19,0.0,0,19,0,0,40,1,0,102,0,0,0,0,2,30,3,0,843,741,124,11
"2021","Yhteensä","Yhteensä","Sotilasrikokset 45 luku","Rangaistusten lukumäärä",387,387,0,6,0.0,0,4,0,2,113,0,0,0,0,2,0,0,2,12,7,0,455,455,26,8
"2021","Yhteensä","Yhteensä","Työrikokset 47 luku","Rangaistusten lukumäärä",158,156,0,0,0.0,0,0,0,0,1,0,0,2,0,0,0,0,10,66,6,0,191,189,87,8
"2021","Yhteensä","Yhteensä","Ympäristörikokset 48 luku, 34a:1§1/4","Rangaistusten lukumäärä",119,81,0,2,0.0,0,2,0,0,15,0,0,38,0,0,0,0,4,23,0,0,141,103,33,3
"2021","Yhteensä","Yhteensä","Alkoholirikokset 50a luku","Rangaistusten lukumäärä",170,27,0,1,0.0,0,1,0,0,7,0,0,141,0,0,0,2,0,3,0,0,214,71,7,0
"2021","Yhteensä","Yhteensä","Huumausainerikokset 50 luku","Rangaistusten lukumäärä",10027,6073,0,1043,0.0,0,918,7,118,1667,94,0,3950,1,0,0,3,42,235,32,0,23572,19618,901,175
"2021","Yhteensä","Yhteensä","Muut 11-14,18,24,25,30,38,40,48a,49,51 luvut, 34:4-11, 34a:1§1/1,3-5, 34a:2-5","Rangaistusten lukumäärä",2093,2009,0,172,0.0,0,132,3,37,646,16,0,84,0,5,0,0,31,282,63,0,5205,5121,950,239
"2021","Yhteensä","Yhteensä","G. Muita lakeja vastaan tehdyt rikokset","Rangaistusten lukumäärä",12578,2236,0,26,0.0,0,1,25,0,0,1,0,5063,3683,0,89,1596,23,50,2,1744,14036,3694,145,53
"2021","Yhteensä","Yhteensä","Alkoholilaki 50a:4,6","Rangaistusten lukumäärä",375,2,0,0,0.0,0,0,0,0,0,0,0,18,3,0,2,352,0,1,0,0,414,41,4,2
"2021","Yhteensä","Yhteensä","Tieliikennelaki 103§, 105a§, Ajoneuvolaki 96§, Ajokorttilaki 93§, 94§","Rangaistusten lukumäärä",4796,195,0,0,0.0,0,0,0,0,0,1,0,1403,2625,0,75,573,5,17,0,0,5351,750,71,35
"2021","Yhteensä","Yhteensä","Laki järjestyksenvalvojista 26§, Kokoontumislaki 26§","Rangaistusten lukumäärä",34,5,0,0,0.0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,37,8,0,0
"2021","Yhteensä","Yhteensä","Oikeudenkäymiskaari 17:36, Laki oikeudenkäynnistä rikosasioissa 8:4-5","Rangaistusten lukumäärä",1744,1744,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,2238,2238,0,0
"2021","Yhteensä","Yhteensä","Rikokset muita lakeja ja asetuksia vastaan","Rangaistusten lukumäärä",5629,290,0,26,0.0,0,1,25,0,0,0,0,3613,1055,0,12,671,18,32,2,0,5996,657,70,16
"2021","Yhteensä","Yhteensä","Rikosnimike tuntematon","Rangaistusten lukumäärä",1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"2021","Yhteensä","Suomi","Yhteensä","Rangaistusten lukumäärä",148612,49156,15,7002,0.0,8,5340,150,1504,11415,691,0,28266,69480,17,85,1710,318,2652,502,1590,222772,123316,8248,1674
"2021","Yhteensä","Suomi","A.Omaisuusrikokset","Rangaistusten lukumäärä",23580,14434,0,1873,0.0,1,1612,9,251,2577,343,0,1214,7931,5,0,1,58,851,134,0,53708,44562,3218,582
"2021","Yhteensä","Suomi","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",2637,2637,0,809,0.0,0,718,4,87,488,91,0,0,0,1,0,0,9,169,32,0,6487,6487,719,83
"2021","Yhteensä","Suomi","Näpistys 28:3","Rangaistusten lukumäärä",12741,4455,0,0,0.0,0,0,0,0,0,118,0,354,7931,0,0,1,7,67,26,0,23586,15300,320,134
"2021","Yhteensä","Suomi","Kavallus 28:4-6","Rangaistusten lukumäärä",365,352,0,15,0.0,0,13,1,1,165,1,0,13,0,0,0,0,1,48,7,0,693,680,119,17
"2021","Yhteensä","Suomi","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",3879,3586,0,419,0.0,0,317,4,98,1071,62,0,293,0,1,0,0,10,217,28,0,14423,14130,909,153
"2021","Yhteensä","Suomi","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",329,209,0,11,0.0,0,11,0,0,171,0,0,120,0,0,0,0,0,46,3,0,819,699,106,18
"2021","Yhteensä","Suomi","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",634,634,0,371,0.0,1,350,0,20,245,1,0,0,0,3,0,0,7,57,5,0,813,813,144,9
"2021","Yhteensä","Suomi","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1451,1273,0,47,0.0,0,32,0,15,90,22,0,178,0,0,0,0,18,77,23,0,3295,3117,320,128
"2021","Yhteensä","Suomi","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",98,89,0,6,0.0,0,5,0,1,5,9,0,9,0,0,0,0,0,8,0,0,234,225,40,5
"2021","Yhteensä","Suomi","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",566,555,0,88,0.0,0,78,0,10,146,24,0,11,0,0,0,0,4,95,9,0,1300,1289,265,18
"2021","Yhteensä","Suomi","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",641,405,0,23,0.0,0,16,0,7,170,2,0,236,0,0,0,0,1,51,0,0,1175,939,159,1
"2021","Yhteensä","Suomi","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",239,239,0,84,0.0,0,72,0,12,26,13,0,0,0,0,0,0,1,16,1,0,883,883,117,16
"2021","Yhteensä","Suomi","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",5872,5670,15,931,0.0,6,754,18,153,1502,54,0,201,1,3,0,0,91,662,216,0,8375,8173,1465,393
"2021","Yhteensä","Suomi","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",154,154,15,115,0.0,5,110,0,0,4,0,0,0,0,1,0,0,19,8,0,0,182,182,63,0
"2021","Yhteensä","Suomi","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",414,414,0,224,0.0,1,223,0,0,178,3,0,0,0,2,0,0,7,49,12,0,457,457,113,28
"2021","Yhteensä","Suomi","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",4934,4808,0,566,0.0,0,396,18,152,1291,49,0,125,1,0,0,0,61,558,200,0,7105,6979,1148,352
"2021","Yhteensä","Suomi","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",47,47,0,6,0.0,0,6,0,0,7,0,0,0,0,0,0,0,1,12,0,0,63,63,21,0
"2021","Yhteensä","Suomi","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",274,198,0,6,0.0,0,6,0,0,7,2,0,76,0,0,0,0,3,26,4,0,484,408,77,13
"2021","Yhteensä","Suomi","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",49,49,0,14,0.0,0,13,0,1,15,0,0,0,0,0,0,0,0,9,0,0,84,84,43,0
"2021","Yhteensä","Suomi","C. Seksuaalirikokset","Rangaistusten lukumäärä",455,433,0,137,0.0,1,136,0,0,251,2,0,22,0,0,0,0,2,154,8,0,802,780,274,14
"2021","Yhteensä","Suomi","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",205,205,0,62,0.0,1,61,0,0,141,0,0,0,0,0,0,0,1,58,3,0,445,445,90,4
"2021","Yhteensä","Suomi","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",143,143,0,71,0.0,0,71,0,0,71,1,0,0,0,0,0,0,0,77,4,0,177,177,123,4
"2021","Yhteensä","Suomi","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",107,85,0,4,0.0,0,4,0,0,39,1,0,22,0,0,0,0,1,19,1,0,180,158,61,6
"2021","Yhteensä","Suomi","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",4025,1330,0,128,0.0,0,92,3,33,319,11,0,2694,1,1,0,0,18,101,12,0,5778,3083,349,59
"2021","Yhteensä","Suomi","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",902,408,0,76,0.0,0,52,1,23,201,1,0,494,0,1,0,0,7,7,3,0,1142,648,35,8
"2021","Yhteensä","Suomi","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",630,55,0,0,0.0,0,0,0,0,0,1,0,575,0,0,0,0,1,0,1,0,945,370,12,5
"2021","Yhteensä","Suomi","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",244,53,0,3,0.0,0,1,1,1,9,2,0,190,1,0,0,0,0,16,2,0,488,297,27,5
"2021","Yhteensä","Suomi","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",2249,814,0,49,0.0,0,39,1,9,109,7,0,1435,0,0,0,0,10,78,6,0,3203,1768,275,41
"2021","Yhteensä","Suomi","E. Liikennerikokset","Rangaistusten lukumäärä",89452,15745,0,2639,0.0,0,1663,83,893,4277,152,0,15355,58348,1,3,4,27,167,21,0,108046,34339,556,129
"2021","Yhteensä","Suomi","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",63725,1231,0,46,0.0,0,35,1,10,20,11,0,7529,54961,0,3,4,14,59,2,0,66371,3877,145,19
"2021","Yhteensä","Suomi","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",3732,3732,0,312,0.0,0,252,6,54,485,13,0,0,0,0,0,0,3,19,1,0,4187,4187,36,3
"2021","Yhteensä","Suomi","Rattijuopumus 23:3","Rangaistusten lukumäärä",6072,4584,0,788,0.0,0,663,13,112,187,59,0,1488,0,0,0,0,3,23,5,0,10351,8863,115,40
"2021","Yhteensä","Suomi","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",4747,4747,0,1161,0.0,0,449,54,658,3453,6,0,0,0,1,0,0,3,32,8,0,5021,5021,56,8
"2021","Yhteensä","Suomi","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",242,242,0,1,0.0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,250,250,7,0
"2021","Yhteensä","Suomi","Kulkuneuvon luovuttaminen juopuneelle 23:8","Rangaistusten lukumäärä",169,169,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,15,2,0,193,193,33,2
"2021","Yhteensä","Suomi","Muut liikennerikokset 23:9-11","Rangaistusten lukumäärä",10765,1040,0,330,0.0,0,263,9,58,130,62,0,6338,3387,0,0,0,3,14,3,0,21673,11948,164,57
"2021","Yhteensä","Suomi","F. Muut rikoslakia vastaan tehdyt rikokset","Rangaistusten lukumäärä",15193,9523,0,1268,0.0,0,1082,12,174,2489,128,0,5414,4,7,1,252,105,675,109,0,34689,29019,2261,452
"2021","Yhteensä","Suomi","Aserikokset, terveyttä ja turvallisuutta vaarantavat rikokset 41, 44 luku","Rangaistusten lukumäärä",3004,1232,0,139,0.0,0,117,2,20,194,22,0,1522,3,0,1,247,15,74,9,0,6219,4447,349,55
"2021","Yhteensä","Suomi","Tuhotyö, liikennetuhotyö 34:1-3, 34a:1§1/3,5","Rangaistusten lukumäärä",47,47,0,15,0.0,0,14,0,1,29,0,0,0,0,0,0,0,3,2,2,0,64,64,6,2
"2021","Yhteensä","Suomi","Väärennys, rahan väärennys 33:1-5, 37:1-7","Rangaistusten lukumäärä",216,167,0,17,0.0,0,17,0,0,30,1,0,49,0,0,0,0,2,13,1,0,685,636,81,7
"2021","Yhteensä","Suomi","Sotilasrikokset 45 luku","Rangaistusten lukumäärä",384,384,0,6,0.0,0,4,0,2,112,0,0,0,0,2,0,0,2,12,7,0,452,452,26,8
"2021","Yhteensä","Suomi","Työrikokset 47 luku","Rangaistusten lukumäärä",154,153,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,10,63,6,0,187,186,80,8
"2021","Yhteensä","Suomi","Ympäristörikokset 48 luku, 34a:1§1/4","Rangaistusten lukumäärä",113,79,0,2,0.0,0,2,0,0,15,0,0,34,0,0,0,0,4,22,0,0,135,101,31,1
"2021","Yhteensä","Suomi","Alkoholirikokset 50a luku","Rangaistusten lukumäärä",132,24,0,1,0.0,0,1,0,0,7,0,0,106,0,0,0,2,0,3,0,0,169,61,7,0
"2021","Yhteensä","Suomi","Huumausainerikokset 50 luku","Rangaistusten lukumäärä",9231,5582,0,924,0.0,0,803,7,114,1533,89,0,3645,1,0,0,3,39,217,27,0,21954,18305,825,154
"2021","Yhteensä","Suomi","Muut 11-14,18,24,25,30,38,40,48a,49,51 luvut, 34:4-11, 34a:1§1/1,3-5, 34a:2-5","Rangaistusten lukumäärä",1912,1855,0,164,0.0,0,124,3,37,569,16,0,57,0,5,0,0,30,269,57,0,4824,4767,856,217
"2021","Yhteensä","Suomi","G. Muita lakeja vastaan tehdyt rikokset","Rangaistusten lukumäärä",10035,2021,0,26,0.0,0,1,25,0,0,1,0,3366,3195,0,81,1453,17,42,2,1590,11374,3360,125,45
