"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2017","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",511425,51864,8,6518,0.0,0,4804,192,1522,12205,443,8576,32997,87386,11,386,330602,341,2890,466,1433,578602,119041,8150,1195
"2017","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",29622,14518,0,1904,0.0,0,1624,16,264,2670,234,696,2676,11730,4,0,2,59,895,135,0,58546,43442,3379,427
"2017","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",3136,3136,0,829,0.0,0,725,7,97,564,76,0,0,0,2,0,0,7,190,35,0,8552,8552,894,86
"2017","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",17221,4078,0,1,0.0,0,0,0,1,0,42,599,816,11727,0,0,1,16,82,29,0,26144,13001,315,89
"2017","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",461,436,0,11,0.0,0,10,0,1,224,4,0,24,1,0,0,0,5,53,4,0,769,744,105,9
"2017","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4089,3475,0,504,0.0,0,382,7,115,1043,57,37,577,0,0,0,0,11,244,28,0,13506,12892,919,93
"2017","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",1045,261,0,13,0.0,0,12,0,1,173,0,29,755,0,0,0,0,1,30,2,0,1487,703,148,5
"2017","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",585,585,0,339,0.0,0,326,0,13,232,0,0,0,0,2,0,0,2,41,5,0,812,812,138,16
"2017","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1485,1220,0,41,0.0,0,36,0,5,61,18,15,247,2,0,0,1,13,69,14,0,3226,2961,311,67
"2017","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",106,87,0,13,0.0,0,13,0,0,7,7,0,19,0,0,0,0,0,9,2,0,277,258,27,6
