"11rs -- Syntyperä ja taustamaa kielen, iän (1-v.) ja sukupuolen mukaan, 1990-2022"

"Syntyperä","Taustamaa","1990 Miehet Väestö 31.12.","1990 Naiset Väestö 31.12.","1991 Miehet Väestö 31.12.","1991 Naiset Väestö 31.12.","1992 Miehet Väestö 31.12.","1992 Naiset Väestö 31.12.","1993 Miehet Väestö 31.12.","1993 Naiset Väestö 31.12.","1994 Miehet Väestö 31.12.","1994 Naiset Väestö 31.12.","1995 Miehet Väestö 31.12.","1995 Naiset Väestö 31.12.","1996 Miehet Väestö 31.12.","1996 Naiset Väestö 31.12.","1997 Miehet Väestö 31.12.","1997 Naiset Väestö 31.12.","1998 Miehet Väestö 31.12.","1998 Naiset Väestö 31.12.","1999 Miehet Väestö 31.12.","1999 Naiset Väestö 31.12.","2000 Miehet Väestö 31.12.","2000 Naiset Väestö 31.12.","2001 Miehet Väestö 31.12.","2001 Naiset Väestö 31.12.","2002 Miehet Väestö 31.12.","2002 Naiset Väestö 31.12.","2003 Miehet Väestö 31.12.","2003 Naiset Väestö 31.12.","2004 Miehet Väestö 31.12.","2004 Naiset Väestö 31.12.","2005 Miehet Väestö 31.12.","2005 Naiset Väestö 31.12.","2006 Miehet Väestö 31.12.","2006 Naiset Väestö 31.12.","2007 Miehet Väestö 31.12.","2007 Naiset Väestö 31.12.","2008 Miehet Väestö 31.12.","2008 Naiset Väestö 31.12.","2009 Miehet Väestö 31.12.","2009 Naiset Väestö 31.12.","2010 Miehet Väestö 31.12.","2010 Naiset Väestö 31.12.","2011 Miehet Väestö 31.12.","2011 Naiset Väestö 31.12.","2012 Miehet Väestö 31.12.","2012 Naiset Väestö 31.12.","2013 Miehet Väestö 31.12.","2013 Naiset Väestö 31.12.","2014 Miehet Väestö 31.12.","2014 Naiset Väestö 31.12.","2015 Miehet Väestö 31.12.","2015 Naiset Väestö 31.12.","2016 Miehet Väestö 31.12.","2016 Naiset Väestö 31.12.","2017 Miehet Väestö 31.12.","2017 Naiset Väestö 31.12.","2018 Miehet Väestö 31.12.","2018 Naiset Väestö 31.12.","2019 Miehet Väestö 31.12.","2019 Naiset Väestö 31.12.","2020 Miehet Väestö 31.12.","2020 Naiset Väestö 31.12.","2021 Miehet Väestö 31.12.","2021 Naiset Väestö 31.12.","2022 Miehet Väestö 31.12.","2022 Naiset Väestö 31.12."
"Yhteensä","YHTEENSÄ",2426204,2572274,2443042,2585960,2457282,2597700,2470196,2607716,2481649,2617105,2491701,2625125,2500596,2631724,2509098,2638251,2516075,2643571,2523026,2648276,2529341,2651774,2537597,2657304,2544916,2661379,2552893,2666839,2562077,2674534,2572350,2683230,2583742,2693213,2596787,2703697,2611653,2714661,2625067,2726360,2638416,2736860,2652534,2748733,2666622,2760052,2680364,2770906,2691863,2779890,2701490,2785818,2712327,2790970,2719131,2793999,2723290,2794629,2728262,2797030,2733808,2799985,2743101,2805140,2753477,2810493
"Yhteensä","Suomi",2407250,2553610,2417796,2562041,2427741,2569548,2436027,2574760,2444534,2580757,2451598,2585378,2458198,2589002,2463171,2591557,2466433,2592895,2469938,2593969,2473638,2594232,2477136,2594961,2480745,2595124,2485028,2596665,2490307,2600080,2494808,2603413,2499763,2607384,2504247,2610428,2509451,2613422,2514392,2617180,2518616,2619594,2522074,2621699,2524763,2622295,2527357,2622389,2528200,2620842,2528617,2618766,2525175,2613335,2521476,2607531,2515826,2599474,2509886,2591912,2504379,2585383,2499184,2579424,2488391,2567406
"Yhteensä","ULKOMAAT YHTEENSÄ",18954,18664,25246,23919,29541,28152,34169,32956,37115,36348,40103,39747,42398,42722,45927,46694,49642,50676,53088,54307,55703,57542,60461,62343,64171,66255,67865,70174,71770,74454,77542,79817,83979,85829,92540,93269,102202,101239,110675,109180,119800,117266,130460,127034,141859,137757,153007,148517,163663,159048,172873,167052,187152,177635,197655,186468,207464,195155,218376,205118,229429,214602,243917,225716,265086,243087
"Yhteensä","EUROOPPA",10540,11577,14100,15444,16916,18591,20081,21986,21805,24268,23766,26591,25162,28541,27105,30972,29338,33437,31557,35828,33304,38165,36210,41215,38385,43508,40483,45715,42437,48082,45667,51229,49450,54866,54211,59087,59481,63683,63668,67848,68235,72309,74243,77948,81026,84436,87009,90498,91856,95316,96033,98846,100691,102689,103875,105022,107292,107670,111363,110935,115672,114180,121883,118255,129832,123926
"Yhteensä","Alankomaat",248,59,249,56,247,58,259,58,267,65,298,76,329,78,367,91,398,94,426,98,466,110,514,130,536,135,568,138,612,138,666,155,705,157,727,175,778,198,792,208,808,209,826,209,859,220,875,226,900,228,940,234,966,240,990,243,1006,255,1057,272,1099,280,1159,293,1199,315
"Yhteensä","Albania",0,0,0,1,1,1,2,1,3,4,6,7,6,9,10,12,12,14,16,16,26,16,38,17,44,19,56,23,74,24,91,26,106,28,120,29,145,31,156,32,164,33,180,42,209,61,244,83,280,107,332,143,392,193,462,221,550,278,658,361,793,434,938,527,1189,662
"Yhteensä","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,2,1,2,1,2,1
"Yhteensä","Belgia",38,30,36,35,39,40,42,40,50,47,58,46,58,46,65,48,70,46,79,46,81,48,88,48,103,46,113,55,117,52,129,53,150,67,170,68,177,74,184,69,199,68,224,71,237,78,256,82,269,86,286,101,301,106,296,105,298,115,330,129,350,137,376,155,395,162
"Yhteensä","Bosnia ja Hertsegovina",0,0,0,0,8,5,10,9,17,17,39,39,67,62,74,69,87,78,100,97,108,107,114,110,120,126,128,133,139,143,147,154,161,175,195,205,229,232,257,258,285,276,293,293,313,310,327,332,356,351,393,382,414,394,433,413,459,423,479,436,482,439,489,450,501,458
"Yhteensä","Bulgaria",147,101,198,144,228,161,244,171,245,174,245,183,238,183,256,200,279,204,292,209,287,221,303,236,327,248,335,264,348,275,358,292,378,310,441,365,515,437,566,481,639,530,751,619,898,744,1031,861,1133,959,1244,1037,1312,1098,1402,1163,1524,1251,1574,1313,1637,1383,1695,1428,1780,1501
